Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G.1,W.1,L.1,W/L%.1,Conf,Champ
1,Stan Albeck,1980,1980,1,82,37,45,.451,-4.0,,,,,,,
2,Kenny Atkinson,2025,2026,2,164,116,48,.707,34.0,2,15,8,7,.533,0,0
3,John Beilein,2020,2020,1,54,14,40,.259,-13.0,,,,,,,
4,J.B. Bickerstaff,2020,2024,5,329,170,159,.517,5.5,2,17,6,11,.353,0,0
5,David Blatt,2015,2016,2,123,83,40,.675,21.5,1,20,14,6,.700,1,0
6,Mike Brown,2006,2014,6,492,305,187,.620,59.0,5,71,42,29,.592,1,0
7,Chuck Daly,1982,1982,1,41,9,32,.220,-11.5,,,,,,,
8,Don Delaney,1981,1982,2,26,7,19,.269,-6.0,,,,,,,
9,Larry Drew,2019,2019,1,76,19,57,.250,-19.0,,,,,,,
10,Bill Fitch,1971,1979,9,738,304,434,.412,-65.0,3,18,7,11,.389,0,0
11,Mike Fratello,1994,1999,6,460,248,212,.539,18.0,4,14,2,12,.143,0,0
12,George Karl,1985,1986,2,149,61,88,.409,-13.5,1,4,1,3,.250,0,0
13,Bob Kloppenburg,1982,1982,1,3,0,3,.000,-1.5,,,,,,,
14,Gene Littles,1986,1986,1,15,4,11,.267,-3.5,,,,,,,
15,John Lucas,2002,2003,2,124,37,87,.298,-25.0,,,,,,,
16,Tyronn Lue,2016,2019,4,211,128,83,.607,22.5,3,61,41,20,.672,3,1
17,Brendan Malone,2005,2005,1,18,8,10,.444,-1.0,,,,,,,
18,Bill Musselman,1981,1982,2,94,27,67,.287,-20.0,,,,,,,
19,Tom Nissalke,1983,1984,2,164,51,113,.311,-31.0,,,,,,,
20,Byron Scott,2011,2013,3,230,64,166,.278,-51.0,,,,,,,
,,,,,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
21,Paul Silas,2004,2005,2,146,69,77,.473,-4.0,,,,,,,
22,Keith Smart,2003,2003,1,40,9,31,.225,-11.0,,,,,,,
23,Lenny Wilkens,1987,1993,7,574,316,258,.551,29.0,5,41,18,23,.439,0,0
24,Randy Wittman,2000,2001,2,164,62,102,.378,-20.0,,,,,,,
